Lugar;"COD IBGE";"IDHM (2010)";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)"
Brasil;--;0,727;0,739;0,816;0,637
"Acrelândia (AC)";120001;0,604;0,584;0,808;0,466
"Assis Brasil (AC)";120005;0,588;0,578;0,770;0,456
"Brasiléia (AC)";120010;0,614;0,619;0,770;0,485
"Bujari (AC)";120013;0,589;0,603;0,772;0,439
"Capixaba (AC)";120017;0,575;0,601;0,794;0,398
"Cruzeiro do Sul (AC)";120020;0,664;0,648;0,776;0,582
"Epitaciolândia (AC)";120025;0,653;0,654;0,771;0,553
"Feijó (AC)";120030;0,539;0,559;0,723;0,388
"Jordão (AC)";120032;0,469;0,499;0,731;0,283
"Mâncio Lima (AC)";120033;0,625;0,580;0,770;0,546
"Manoel Urbano (AC)";120034;0,551;0,586;0,767;0,373
"Marechal Thaumaturgo (AC)";120035;0,501;0,479;0,726;0,361
"Plácido de Castro (AC)";120038;0,622;0,593;0,786;0,517
"Porto Acre (AC)";120080;0,576;0,593;0,771;0,418
"Porto Walter (AC)";120039;0,532;0,521;0,726;0,397
"Rio Branco (AC)";120040;0,727;0,729;0,798;0,661
"Rodrigues Alves (AC)";120042;0,567;0,518;0,736;0,477
"Santa Rosa do Purus (AC)";120043;0,517;0,519;0,781;0,340
"Senador Guiomard (AC)";120045;0,640;0,649;0,786;0,513
"Sena Madureira (AC)";120050;0,603;0,593;0,810;0,456
"Tarauacá (AC)";120060;0,539;0,554;0,720;0,392
"Xapuri (AC)";120070;0,599;0,621;0,773;0,448
"Água Branca (AL)";270010;0,549;0,527;0,728;0,432
"Anadia (AL)";270020;0,568;0,546;0,756;0,444
"Arapiraca (AL)";270030;0,649;0,638;0,780;0,549
"Atalaia (AL)";270040;0,561;0,545;0,752;0,431
"Barra de Santo Antônio (AL)";270050;0,557;0,552;0,732;0,428
"Barra de São Miguel (AL)";270060;0,615;0,638;0,767;0,475
"Batalha (AL)";270070;0,594;0,563;0,752;0,496
"Belém (AL)";270080;0,593;0,587;0,764;0,464
"Belo Monte (AL)";270090;0,517;0,507;0,725;0,376
"Boca da Mata (AL)";270100;0,604;0,560;0,758;0,518
"Branquinha (AL)";270110;0,513;0,534;0,699;0,362
"Cacimbinhas (AL)";270120;0,531;0,559;0,697;0,384
"Cajueiro (AL)";270130;0,562;0,542;0,691;0,473
"Campestre (AL)";270135;0,559;0,550;0,729;0,435
"Campo Alegre (AL)";270140;0,570;0,531;0,742;0,470
"Campo Grande (AL)";270150;0,524;0,502;0,739;0,387
"Canapi (AL)";270160;0,506;0,504;0,719;0,357
"Capela (AL)";270170;0,573;0,554;0,743;0,456
"Carneiros (AL)";270180;0,526;0,517;0,709;0,398
"Chã Preta (AL)";270190;0,575;0,537;0,737;0,481
"Coité do Nóia (AL)";270200;0,533;0,520;0,730;0,398
"Colônia Leopoldina (AL)";270210;0,517;0,548;0,693;0,363
"Coqueiro Seco (AL)";270220;0,586;0,582;0,757;0,457
"Coruripe (AL)";270230;0,626;0,591;0,769;0,541
"Craíbas (AL)";270235;0,525;0,517;0,687;0,408
"Delmiro Gouveia (AL)";270240;0,612;0,599;0,774;0,494
"Dois Riachos (AL)";270250;0,532;0,513;0,762;0,385
"Estrela de Alagoas (AL)";270255;0,534;0,515;0,720;0,410
"Feira Grande (AL)";270260;0,533;0,512;0,736;0,402
"Feliz Deserto (AL)";270270;0,565;0,550;0,708;0,462
"Flexeiras (AL)";270280;0,527;0,528;0,693;0,400
"Girau do Ponciano (AL)";270290;0,536;0,498;0,762;0,405
"Ibateguara (AL)";270300;0,518;0,517;0,684;0,393
"Igaci (AL)";270310;0,564;0,547;0,774;0,424
"Igreja Nova (AL)";270320;0,568;0,556;0,771;0,428
"Inhapi (AL)";270330;0,484;0,501;0,718;0,316
"Jacaré dos Homens (AL)";270340;0,583;0,543;0,759;0,481
"Jacuípe (AL)";270350;0,548;0,532;0,755;0,410
"Japaratinga (AL)";270360;0,570;0,560;0,735;0,451
"Jaramataia (AL)";270370;0,552;0,532;0,701;0,451
"Jequiá da Praia (AL)";270375;0,556;0,517;0,772;0,430
"Joaquim Gomes (AL)";270380;0,531;0,509;0,764;0,386
"Jundiá (AL)";270390;0,562;0,573;0,715;0,434
"Junqueiro (AL)";270400;0,575;0,586;0,714;0,454
"Lagoa da Canoa (AL)";270410;0,552;0,541;0,703;0,443
"Limoeiro de Anadia (AL)";270420;0,580;0,575;0,742;0,457
"Maceió (AL)";270430;0,721;0,739;0,799;0,635
"Major Isidoro (AL)";270440;0,566;0,566;0,755;0,424
"Maragogi (AL)";270450;0,574;0,556;0,766;0,443
"Maravilha (AL)";270460;0,569;0,539;0,742;0,460
"Marechal Deodoro (AL)";270470;0,642;0,641;0,793;0,520
"Maribondo (AL)";270480;0,597;0,581;0,751;0,487
"Mar Vermelho (AL)";270490;0,577;0,540;0,766;0,465
"Mata Grande (AL)";270500;0,504;0,506;0,685;0,369
"Matriz de Camaragibe (AL)";270510;0,584;0,541;0,777;0,473
"Messias (AL)";270520;0,568;0,557;0,714;0,460
"Minador do Negrão (AL)";270530;0,563;0,541;0,767;0,430
"Monteirópolis (AL)";270540;0,539;0,497;0,710;0,443
"Murici (AL)";270550;0,527;0,542;0,685;0,395
"Novo Lino (AL)";270560;0,521;0,546;0,690;0,375
"Olho D'Água das Flores (AL)";270570;0,565;0,568;0,752;0,422
"Olho D'Água do Casado (AL)";270580;0,525;0,527;0,785;0,350
"Olho D'Água Grande (AL)";270590;0,503;0,473;0,673;0,399
"Olivença (AL)";270600;0,493;0,513;0,677;0,345
"Ouro Branco (AL)";270610;0,547;0,538;0,700;0,434
"Palestina (AL)";270620;0,558;0,505;0,735;0,467
"Palmeira dos Índios (AL)";270630;0,638;0,625;0,794;0,523
"Pão de Açúcar (AL)";270640;0,593;0,536;0,793;0,491
"Pariconha (AL)";270642;0,548;0,526;0,754;0,416
"Paripueira (AL)";270644;0,605;0,595;0,767;0,486
